ID,机型名称,releaseDate,processor,ram,chipPerformance,gpuPerformance,display,screenBrightness,camera,faceTimeCamera,battery,batteryLife,charging,wireless,storage,price,dimensions,weight,os,connectivity,蓝牙,cellularFeatures,satelliteFeatures,colors,materials,waterResistance,security,sensors,ports,audioFeatures,扬声器数量,麦克风数量,WiFi标准,modelIdentifier,baseband,techSpecs,marketingSlogan
iphone-se-3,iPhone SE (第3代),2022年3月,A15 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：2261，多核跑分：5442,17738,4.7英寸 Retina HD LCD，1334×750 分辨率，326ppi，60Hz,最大亮度：625尼特,1200万像素主摄 (f/1.8光圈),700万像素，f/2.2光圈，支持1080p@30fps录制,2018 mAh (7.82Wh)，最长视频播放时间15小时,视频播放：最长15小时，流媒体视频：最长10小时，音频播放：最长50小时,最高20W有线快充，可在30分钟内充至50%电量，7.5W Qi无线充电,Qi无线充电,64GB / 128GB / 256GB,3499元起,138.4 x 67.3 x 7.3 mm,144 g,iOS 15（可升级至iOS 17）,"5G, Wi-Fi 6, 蓝牙 5.0, NFC",,5G，单卡,无,午夜色、星光色、红色,铝合金中框，前后玻璃面板,IP67，水下1米深处可达30分钟,Touch ID（第2代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器,2,4,802.11ax HT80 2x2 MIMO,"iPhone14,6",Qualcomm X57,https://support.apple.com/zh-cn/111866,强悍芯片，超强价值。
iphone-13-pro-max,iPhone 13 Pro Max,2021年9月,A15 仿生 (2P+4E+5GPU),6GB LPDDR4X,单核跑分：2340，多核跑分：5739,20219,6.7英寸 Super Retina XDR OLED，2778×1284分辨率，458ppi，10-120Hz ProMotion,标准亮度：1000尼特，HDR峰值亮度：1200尼特,主摄：1200万像素 (f/1.5光圈) + 超广角：1200万像素 (f/1.8光圈) + 长焦：1200万像素 (f/2.8光圈，3倍光学变焦),1200万像素，f/2.2光圈,4352 mAh (16.75Wh)，最长视频播放时间28小时,视频播放：最长28小时，流媒体：最长25小时，音频播放：最长95小时,最高27W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB / 1TB,8999元起（发布价）,78.1×160.8×7.65mm,238 g,iOS 15，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.0，超宽带,,5G，支持双卡双待,无,石墨色、金色、银色、天峰蓝色,不锈钢中框，Ceramic Shield前玻璃，纹理哑光玻璃背板,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone14,3",Qualcomm X60M,https://support.apple.com/kb/SP852,超能力，超给力。
iphone-13-pro,iPhone 13 Pro,2021年9月,A15 仿生 (2P+4E+5GPU),6GB LPDDR4X,单核跑分：2339，多核跑分：5724,20219,6.1英寸 Super Retina XDR OLED，2532×1170分辨率，460ppi，10-120Hz ProMotion,标准亮度：1000尼特，HDR峰值亮度：1200尼特,主摄：1200万像素 (f/1.5光圈) + 超广角：1200万像素 (f/1.8光圈) + 长焦：1200万像素 (f/2.8光圈，3倍光学变焦),1200万像素，f/2.2光圈,3095 mAh (11.97Wh)，最长视频播放时间22小时,视频播放：最长22小时，流媒体：最长20小时，音频播放：最长75小时,最高23W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB / 1TB,7999元起（发布价）,71.5×146.7×7.65mm,203 g,iOS 15，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.0，超宽带,,5G，支持双卡双待,无,石墨色、金色、银色、天峰蓝色,不锈钢中框，Ceramic Shield前玻璃，纹理哑光玻璃背板,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone14,2",Qualcomm X60M,https://support.apple.com/kb/SP852,超能力，超给力。
iphone-13,iPhone 13,2021年9月,A15 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：2213，多核跑分：5244,20219,6.1英寸 Super Retina XDR OLED，2532×1170分辨率，460ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,主摄：1200万像素 (f/1.6光圈) + 超广角：1200万像素 (f/2.4光圈),1200万像素，f/2.2光圈,3227 mAh (12.41Wh)，最长视频播放时间19小时,视频播放：最长19小时，流媒体：最长15小时，音频播放：最长75小时,最高23W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB,5999元起（发布价）,71.5×146.7×7.65mm,173 g,iOS 15，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.0，超宽带,,5G，支持双卡双待,无,粉色、蓝色、午夜色、星光色、红色、绿色,铝合金中框，Ceramic Shield前玻璃，玻璃背板,IP68，水下6米深处可达30分钟,Face ID,三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone14,5",Qualcomm X60M,https://support.apple.com/kb/SP851,超能力，超给力。
iphone-13-mini,iPhone 13 mini,2021年9月,A15 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：2220，多核跑分：5229,17752,5.4英寸 Super Retina XDR OLED，2340×1080分辨率，476ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,主摄：1200万像素 (f/1.6光圈) + 超广角：1200万像素 (f/2.4光圈),1200万像素，f/2.2光圈,2406 mAh (9.34Wh)，最长视频播放时间17小时,视频播放：最长17小时，流媒体：最长13小时，音频播放：最长55小时,最高20W有线快充，12W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB,5199元起（发布价）,64.2×131.5×7.65mm,140 g,iOS 15，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.0，超宽带,,5G，支持双卡双待,无,粉色、蓝色、午夜色、星光色、红色、绿色,铝合金中框，Ceramic Shield前玻璃，玻璃背板,IP68，水下6米深处可达30分钟,Face ID,三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone14,4",Qualcomm X60M,https://support.apple.com/kb/SP847,超能力，超给力。
iphone-12-mini,iPhone 12 mini,2020年10月,A14 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：2033，多核跑分：4595,16175,5.4英寸 Super Retina XDR OLED，2340×1080 分辨率，476ppi，60Hz,最大亮度：625尼特，HDR峰值亮度：1200尼特,1200万像素广角 (f/1.6光圈) + 1200万像素超广角 (f/2.4光圈),1200万像素，f/2.2光圈，支持4K@60fps录制,2227 mAh (8.57Wh)，最长视频播放时间15小时,视频播放：最长15小时，流媒体视频：最长10小时，音频播放：最长50小时,最高20W有线快充，可在30分钟内充至50%电量，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,64GB / 128GB / 256GB,5499元起（发布价）,131.5 x 64.2 x 7.4 mm,133 g,iOS 14（可升级至iOS 17）,"5G, Wi-Fi 6, 蓝牙 5.0, 超宽带, NFC",,5G，支持双卡双待,无,黑色、白色、红色、绿色、蓝色、紫色,铝合金中框，Ceramic Shield前面板，强化玻璃背板,IP68，水下6米深处可达30分钟,Face ID,Face ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，支持杜比全景声,2,4,802.11ax HT80 2x2 MIMO,"iPhone13,1",Qualcomm X55M,https://support.apple.com/kb/SP829,大能力，小身材。
iphone-12,iPhone 12,2020年10月,A14 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：2030，多核跑分：4586,16230,6.1英寸 Super Retina XDR OLED，2532×1170 分辨率，460ppi，60Hz,标准亮度：625尼特，HDR峰值亮度：1200尼特,1200万像素主摄 (f/1.6光圈) + 1200万像素超广角 (f/2.4光圈),1200万像素，f/2.2光圈,2815 mAh (10.78Wh)，最长视频播放时间17小时,视频播放：最长17小时，流媒体：最长11小时，音频播放：最长65小时,最高20W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,64GB / 128GB / 256GB,5499元起（发布价）,71.5×146.7×7.4mm,164 g,iOS 14，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.0，NFC,,双卡双待，支持5G,无,黑色、白色、红色、绿色、蓝色、紫色,铝合金中框，前后双面玻璃,IP68，水下6米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone13,2",Qualcomm X55M,https://support.apple.com/kb/SP830,力量超前。
iphone-12-pro,iPhone 12 Pro,2020年10月,A14 仿生 (2P+4E+4GPU),6GB LPDDR4X,单核跑分：2076，多核跑分：4736,16230,6.1英寸 Super Retina XDR OLED，2532×1170 分辨率，460ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,1200万像素主摄 (f/1.6光圈) + 1200万像素超广角 (f/2.4光圈) + 1200万像素长焦 (f/2.0光圈，2倍光学变焦),1200万像素，f/2.2光圈,2815 mAh (10.78Wh)，最长视频播放时间17小时,视频播放：最长17小时，流媒体：最长11小时，音频播放：最长65小时,最高20W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB,8499元起（发布价）,71.5×146.7×7.4mm,189 g,iOS 14，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.0，NFC，超宽带,,双卡双待，支持5G,无,石墨色、银色、金色、海蓝色,不锈钢中框，前后双面玻璃,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone13,3",Qualcomm X55M,https://support.apple.com/kb/SP831,Pro 摄影，Pro 视频，Pro 强大。
iphone-12-pro-max,iPhone 12 Pro Max,2020年10月,A14 仿生 (2P+4E+4GPU),6GB LPDDR4X,单核跑分：2122，多核跑分：4965,16230,6.7英寸 Super Retina XDR OLED，2778×1284 分辨率，458ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,1200万像素主摄 (f/1.6光圈) + 1200万像素超广角 (f/2.4光圈) + 1200万像素长焦 (f/2.2光圈，2.5倍光学变焦),1200万像素，f/2.2光圈,3687 mAh (14.13Wh)，最长视频播放时间20小时,视频播放：最长20小时，流媒体：最长12小时，音频播放：最长80小时,最高20W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB,9299元起（发布价）,78.1×160.8×7.4mm,228 g,iOS 14，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.0，NFC，超宽带,,双卡双待，支持5G,无,石墨色、银色、金色、海蓝色,不锈钢中框，前后双面玻璃,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone13,4",Qualcomm X55M,https://support.apple.com/kb/SP832,Pro 摄影，Pro 视频，Pro 强大。
iphone-se-2,iPhone SE (第2代),2020年4月,A13 仿生 (2P+4E+4GPU),3GB LPDDR4X,单核跑分：1670，多核跑分：3034,12759,4.7英寸 Retina HD LCD，1334×750 分辨率，326ppi，60Hz,最大亮度：625尼特,1200万像素主摄 (f/1.8光圈),700万像素，f/2.2光圈,1821 mAh (6.96Wh)，最长视频播放时间13小时,视频播放：最长13小时，流媒体：最长8小时，音频播放：最长40小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 128GB / 256GB,3299元起（发布价）,67.3×138.4×7.3mm,148 g,iOS 13，可升级至iOS 17及更高版本,Wi-Fi 6，蓝牙5.0，NFC,,4G LTE，单卡,无,黑色、白色、红色,铝合金中框，前后玻璃面板,IP67，水下1米深处可达30分钟,Touch ID（第2代）,Touch ID指纹传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器,2,4,802.11ax HT80 2x2 MIMO,"iPhone12,8",Intel XMM7660,https://support.apple.com/kb/SP820,称心称手，超值入手
iphone-11,iPhone 11,2019年9月,A13 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：1705，多核跑分：3668,13595,6.1英寸 Liquid Retina LCD，1792×828 分辨率，326ppi，60Hz,最大亮度：625尼特,1200万像素广角 (f/1.8光圈) + 1200万像素超广角 (f/2.4光圈),1200万像素，f/2.2光圈，支持4K@60fps录制,3110 mAh (11.91Wh)，最长视频播放时间17小时,视频播放：最长17小时，流媒体视频：最长10小时，音频播放：最长65小时,最高18W有线快充，可在30分钟内充至50%电量，7.5W Qi无线充电,Qi无线充电,64GB / 128GB / 256GB,5499元起（发布价）,150.9 x 75.7 x 8.3 mm,194 g,iOS 13（可升级至iOS 17）,"4G LTE, Wi-Fi 6, 蓝牙 5.0, 超宽带, NFC",,4G LTE，支持双卡双待,无,黑色、白色、红色、黄色、绿色、紫色,铝合金中框，强化玻璃前后面板,IP68，水下2米深处可达30分钟,Face ID,Face ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，支持杜比全景声,2,4,802.11ax HT80 2x2 MIMO,"iPhone12,1",Intel XMM 7660,https://support.apple.com/kb/SP804,新一代iPhone，让你大开眼界。
iphone-11-pro,iPhone 11 Pro,2019年9月,A13 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：1714，多核跑分：3823,13595,5.8英寸 Super Retina XDR OLED，2436×1125 分辨率，458ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,1200万像素广角 (f/1.8光圈) + 1200万像素超广角 (f/2.4光圈) + 1200万像素长焦 (f/2.0光圈，2倍光学变焦),1200万像素，f/2.2光圈,3046 mAh (11.67Wh)，最长视频播放时间18小时,视频播放：最长18小时，流媒体：最长11小时，音频播放：最长65小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 256GB / 512GB,8699元起（发布价）,71.4×144×8.1mm,188 g,iOS 13，可升级至iOS 17及更高版本,Wi-Fi 6，蓝牙5.0，NFC,,4G LTE，支持双卡双待,无,午夜绿色、太空灰色、银色、金色,不锈钢中框，前后双面玻璃，背面磨砂玻璃,IP68，水下4米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone12,3",Intel XMM7660,https://support.apple.com/kb/SP805,Pro 级，就是 Pro。
iphone-11-pro-max,iPhone 11 Pro Max,2019年9月,A13 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：1724，多核跑分：3873,13595,6.5英寸 Super Retina XDR OLED，2688×1242 分辨率，458ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,1200万像素广角 (f/1.8光圈) + 1200万像素超广角 (f/2.4光圈) + 1200万像素长焦 (f/2.0光圈，2倍光学变焦),1200万像素，f/2.2光圈,3969 mAh (15.04Wh)，最长视频播放时间20小时,视频播放：最长20小时，流媒体：最长12小时，音频播放：最长80小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 256GB / 512GB,9599元起（发布价）,77.8×158×8.1mm,226 g,iOS 13，可升级至iOS 17及更高版本,Wi-Fi 6，蓝牙5.0，NFC,,4G LTE，支持双卡双待,无,午夜绿色、太空灰色、银色、金色,不锈钢中框，前后双面玻璃，背面磨砂玻璃,IP68，水下4米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，3个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone12,5",Intel XMM7660,https://support.apple.com/kb/SP806,Pro 级，就是 Pro。
iphone-xr,iPhone XR,2018年10月,A12 仿生 (2P+4E+4GPU),3GB LPDDR4X,单核跑分：1250，多核跑分：2273,8245,6.1英寸 Liquid Retina LCD，1792×828 分辨率，326ppi，60Hz,标准亮度：625尼特,1200万像素广角 (f/1.8光圈),700万像素，f/2.2光圈，支持1080p@60fps录制,2942 mAh (11.16Wh)，最长视频播放时间16小时,视频播放：最长16小时，流媒体视频：最长13小时，音频播放：最长65小时,最高18W有线快充，可在30分钟内充至50%电量，7.5W Qi无线充电,Qi无线充电,64GB / 128GB / 256GB,6499元起（发布价）,150.9 x 75.7 x 8.3 mm,194 g,iOS 12（可升级至iOS 16）,"4G LTE, Wi-Fi 5, 蓝牙 5.0, NFC",,4G LTE，单卡,无,黑色、白色、红色、黄色、珊瑚色、蓝色,铝合金中框，强化玻璃前后面板,IP67，水下1米深处可达30分钟,Face ID,Face ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器,2,4,802.11ax HT80 2x2 MIMO,"iPhone11,8",Intel XMM 7560,https://support.apple.com/kb/SP781,创新，再一次。
iphone-xs,iPhone XS,2018年9月,A12 仿生 (2P+4E+4GPU),4GB LPDDR4X,单核跑分：1286，多核跑分：2660,8287,5.8英寸 Super Retina HD OLED，2436×1125 分辨率，458ppi，60Hz,最大亮度：625尼特，HDR峰值亮度：1000尼特,1200万像素广角 (f/1.8光圈) + 1200万像素长焦 (f/2.4光圈，2倍光学变焦),700万像素，f/2.2光圈,2658 mAh (10.13Wh)，最长视频播放时间14小时,视频播放：最长14小时，流媒体：最长10小时，音频播放：最长60小时,最高18W有线快充，7.5W Qi无线充电,Qi无线充电,64GB / 256GB / 512GB,8699元起（发布价）,70.9×143.6×7.7mm,177 g,iOS 12，可升级至iOS 16,Wi-Fi 5，蓝牙5.0，NFC,,4G LTE，支持双卡双待,无,金色、银色、深空灰色,不锈钢中框，前后双面玻璃,IP68，水下2米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,立体声扬声器，4个麦克风,2,4,802.11ac 2x2 MIMO,"iPhone11,2",Intel XMM7560,https://support.apple.com/kb/SP779,全面屏，更强悍。
